Ticker,Momentum 3M,Momentum 6M,Momentum 12M,Annualized Return,Annualized Volatility,Max Drawdown,Sharpe Ratio,Sector,Market Cap,PE Ratio,PB Ratio,ROE,Profit Margin,Debt to Equity,Beta,Momentum Score,Value Score,Quality Score,Risk Score,Composite Score,Rank
GOOGL,0.21379620254006237,0.21256190376482764,0.5442685005918946,0.3033362523484844,0.32335221406909603,-0.4432005911948703,0.8143944617995192,Communication Services,4439174283264,27.77023,9.206611,0.38884997,0.37919,20.026,1.237,1.3804367137125022,0.4421514327056508,0.44501547645005796,-0.18681967797726184,0.5985588058072254,1.0
JPM,0.15672038288153844,0.04473486477982447,0.24863161165227288,0.17321465769042765,0.309446400809922,-0.43626510276655117,0.43049347913487285,Financial Services,893509828608,20.412576,2.5974653,0.16465001,0.33936,,1.0,0.2729864060562915,0.9595448721149704,0.006381127839500529,0.04560962860880357,0.3324993475272659,2.0
KO,0.06355553044408335,0.14631351905589374,0.17064087171440545,0.09356892561554764,0.20658409176939854,-0.3698752597354773,0.2653343214123208,Consumer Defensive,343897407488,25.13522,10.226459,0.43372002,0.278,124.943,0.354,0.11383466300807914,0.4875705846338079,-0.14769346221939186,1.031064663533932,0.3253326122128142,3.0
UNH,0.23566033813794973,0.2112739850679477,0.360487559794334,0.07128353491404593,0.3423700840005549,-0.61390867761131,0.09137344755272259,Healthcare,362830921728,30.062452,3.706284,0.121759996,0.029934,73.982,0.65,1.1890630803266948,0.5931657991554353,-0.6862335833080154,-0.26356785769722374,0.2807384065204186,4.0
MRK,0.013084783012969003,0.16554338821774084,0.4701129232577035,0.07669155132968619,0.24876971354445643,-0.43443393843748557,0.14749203513123482,Healthcare,285116563456,32.51831,6.2144704,0.18944,0.13586001,106.936,0.218,0.420993184897263,0.4079891537582129,-0.5496990218074953,0.8149749089562092,0.25386547024810013,5.0
PG,0.04722418528149852,0.06614138300303352,-0.024884147737845086,0.06010110755659226,0.2068310342884459,-0.29995167602218314,0.0971861288889525,Consumer Defensive,350593875968,21.979563,6.523114,0.31112,0.19162,67.651,0.385,-0.45463634045860224,0.7453562012707822,-0.18794607068084615,1.1790718936750755,0.23877600924491843,6.0
AAPL,0.19835030767814055,0.09370680257912123,0.5140971449942202,0.24683619769556775,0.31343453425255446,-0.3336050612294843,0.659902388193467,Technology,4346723172352,35.8293,40.76446,1.4147099,0.27152002,79.548,1.086,0.9450291260814363,-1.128935457004432,0.7504972807963424,0.22154880987495626,0.2332089557473997,7.0
LLY,0.22480508951993095,0.0603649686296166,0.3997877527248459,0.4106605475751388,0.3442973110555997,-0.3447500388020053,1.0765711368430693,Healthcare,991616434176,39.474617,31.846952,1.07459,0.34986,139.015,0.517,0.7799494201637577,-0.8817421635070082,0.42099904747916855,0.47824928966824487,0.21444890497581637,8.0
XOM,-0.04108315018916779,0.2129795074061779,0.3014043139388667,0.16546308544538446,0.3264089770036907,-0.5500493560798542,0.38437388149396956,Energy,583359922176,23.693604,2.580965865,0.09873,0.077649996,18.261,0.21455,0.11697182251023462,0.851225270447578,-0.38322639832741306,0.2532565734002395,0.20274257946315954,9.0
NVDA,0.15106286928088575,0.1779624457916127,0.43538775037379396,0.5199818847971717,0.5228140014540664,-0.663350828116337,1.0892723490270537,Technology,4465056940032,31.339968,25.359356,1.14288,0.5224335285000001,17.0904,1.8182000000000003,0.9001553527133171,-0.3435557492342524,1.312377624997428,-1.853215631833973,0.14160894838799432,10.0
